Row,CUSIP,Issuer Name,Yield at Issue,Amt Issued,Issue Date,Maturity,Tax Prov,Fin Typ,BICS Level 2,Self-reported Green,Mgmt of Proc,ESG Reporting,ESG Assurance Providers,Proj Sel Proc,ESG Framework,Industry,Kestrel Total ESG Impact Score,ESG Project Categories,Project Subcategory,Issuer Type
18,04108KW38,AR Arkansas Develop...,3.84,3.36MM,03/05/2025,06/01/2043,FED & ST TAX-EXEMPT,NEW MONEY|Financing...,No,No,No,No,No,No,WTRSWR,Sustainable Water,Infrastructure,,,
19,04108KV62,AR Arkansas Develop...,3.33,2.64MM,03/05/2025,06/01/2038,FED & ST TAX-EXEMPT,NEW MONEY|Financing...,No,No,No,No,No,No,WTRSWR,Sustainable Water,Infrastructure,,,
20,04108KV88,AR Arkansas Develop...,3.48,2.91MM,03/05/2025,06/01/2040,FED & ST TAX-EXEMPT,NEW MONEY|Financing...,No,No,No,No,No,No,WTRSWR,Sustainable Water,Infrastructure,,,
21,083389HM1,AR Benton Washingto...,4.8,6.07MM,09/30/2025,10/01/2055,FED & ST TAX-EXEMPT,NEW MONEY|Utilities,Yes,No,No,No,No,No,WTRSWR,Sustainable Water,,,,
22,04108KW53,AR Arkansas Develop...,4,3.71MM,03/05/2025,06/01/2045,FED & ST TAX-EXEMPT,NEW MONEY|Financing...,No,No,No,No,No,No,WTRSWR,Sustainable Water,,,,
23,441178DR8,AR City of Hot Spring...,5.549,6.18MM,04/15/2025,12/01/2043,FED TAXABLE/ST TAX-EX...,NEW MONEY|Utilities,Yes,No,No,No,No,No,WTRSWR|CITY...,Sustainable Water,Infrastructure,,,
24,083389HD1,AR Benton Washingto...,3.67,580.00M,09/30/2025,10/01/2036,FED & ST TAX-EXEMPT,NEW MONEY|Utilities,Yes,No,No,No,No,No,WTRSWR,Sustainable Water,,,,
25,04108KW61,AR Arkansas Develop...,4.07,3.89MM,03/05/2025,06/01/2046,FED & ST TAX-EXEMPT,NEW MONEY|Financing...,No,No,No,No,No,No,WTRSWR,Sustainable Water,Infrastructure,,,
26,04108KW20,AR Arkansas Develop...,3.74,3.20MM,03/05/2025,06/01/2042,FED & ST TAX-EXEMPT,NEW MONEY|Financing...,No,No,No,No,No,No,WTRSWR,Sustainable Water,,,,
27,083389GX8,AR Benton Washingto....,2.57,445.00M,09/30/2025,10/01/2030,FED & ST TAX-EXEMPT,NEW MONEY|Utilities,Yes,No,No,No,No,No,WTRSWR,Sustainable Water,,,,
28,083389HE9,AR Benton Washingto....,3.81,605.00M,09/30/2025,10/01/2037,FED & ST TAX-EXEMPT,NEW MONEY|Utilities,Yes,No,No,No,No,No,WTRSWR,Sustainable Water,,,,
29,04108KW79,AR Arkansas Develop...,4.12,17.61MM,03/05/2025,06/01/2050,FED & ST TAX-EXEMPT,NEW MONEY|Financing...,No,No,No,No,No,No,WTRSWR,Sustainable Water,Infrastructure,,,
30,083389HL3,AR Benton Washingto....,4.78,4.84MM,09/30/2025,10/01/2050,FED & ST TAX-EXEMPT,NEW MONEY|Utilities,Yes,No,No,No,No,No,WTRSWR,Sustainable Water,,,,
,AR City of Dardanell,4.9,270MM,10/07/2025,10/01/2035,FED & ST TAX-EXEMPT,REFUNDING|Utilities,Yes,No,No,No,No,No,SALESTAX|CITY,Sustainable Water,Infrastructure,,,,
31,23/190AF0,AR City of Dardanell...,4.89,2.70MM,10/07/2025,10/01/2045,FED & ST TAX-EXEMPT,REFUNDING...,Utilities,Yes,No,No,No,No,No,SALESTAX,CITY...,Sustainable Water,Infrastructure,
32,237190AB9,AR City of Dardanell...,3.6,355.00M,10/07/2025,10/01/2033,FED & ST TAX-EXEMPT,REFUNDING...,Utilities,Yes,No,No,No,No,No,SALESTAX,CITY...,Sustainable Water,Infrastructure,
33,083389HH2,AR Benton Washingto...,4.16,680.00M,09/30/2025,10/01/2040,FED & ST TAX-EXEMPT,NEW MONEY,Utilities,Yes,No,No,No,No,No,WTRSWR,,Sustainable Water,,
34,441178DS6,AR City of Hot Spring...,4.32,5.61MM,04/15/2025,12/01/2045,FED & ST TAX-EXEMPT,NEW MONEY,Utilities,Yes,No,No,No,No,No,WTRSWR,CITY...,Sustainable Water,Infrastructure,
35,441178DV9,AR City of Hot Spring...,4.67,8.50MM,04/15/2025,12/01/2057,FED & ST TAX-EXEMPT,NEW MONEY,Utilities,Yes,No,No,No,No,No,WTRSWR,CITY...,Sustainable Water,Infrastructure,
36,083389GV2,AR Benton Washingto...,2.42,405.00M,09/30/2025,10/01/2028,FED & ST TAX-EXEMPT,NEW MONEY,Utilities,Yes,No,No,No,No,No,WTRSWR,,Sustainable Water,,
37,083389HJ8,AR Benton Washingto...,4.41,1.45MM,09/30/2025,10/01/2042,FED & ST TAX-EXEMPT,NEW MONEY,Utilities,Yes,No,No,No,No,No,WTRSWR,,Sustainable Water,,
38,083389GT7,AR Benton Washingto...,2.42,365.00M,09/30/2025,10/01/2026,FED & ST TAX-EXEMPT,NEW MONEY,Utilities,Yes,No,No,No,No,No,WTRSWR,,Sustainable Water,,
39,083389GY6,AR Benton Washingto...,2.77,470.00M,09/30/2025,10/01/2031,FED & ST TAX-EXEMPT,NEW MONEY,Utilities,Yes,No,No,No,No,No,WTRSWR,,Sustainable Water,,
40,083389GZ3,AR Benton Washingto...,2.96,490.00M,09/30/2025,10/01/2032,FED & ST TAX-EXEMPT,NEW MONEY,Utilities,Yes,No,No,No,No,No,WTRSWR,,Sustainable Water,,
41,441178DH0,AR City of Hot Spring...,4.916,1.21MM,04/15/2025,12/01/2030,FED TAXABLE/ST TAX-EX...,NEW MONEY,Utilities,Yes,No,No,No,No,No,WTRSWR,CITY...,Sustainable Water,Infrastructure,
42,441178DN7,AR City of Hot Spring...,5.329,1.54MM,04/15/2025,12/01/2035,FED TAXABLE/ST TAX-EX...,NEW MONEY,Utilities,Yes,No,No,No,No,No,WTRSWR,CITY...,Sustainable Water,Infrastructure,
43,441178DP2,AR City of Hot Spring...,5.449,5.14MM,04/15/2025,12/01/2038,FED TAXABLE/ST TAX-EX...,NEW MONEY,Utilities,Yes,No,No,No,No,No,WTRSWR,CITY...,Sustainable Water,Infrastructure,
44,04108KU30,AR Arkansas Develop...,2.73,1.54MM,03/05/2025,06/01/2027,FED & ST TAX-EXEMPT,NEW MONEY,Financing...,No,No,No,No,No,No,WTRSWR,,Sustainable Water,Infrastructure,
45,04108KU48,AR Arkansas Develop...,2.77,1.62MM,03/05/2025,06/01/2028,FED & ST TAX-EXEMPT,NEW MONEY,Financing...,No,No,No,No,No,No,WTRSWR,,Sustainable Water,Infrastructure,
46,04108KU55,AR Arkansas Develop...,2.81,1.70MM,03/05/2025,06/01/2029,FED & ST TAX-EXEMPT,NEW MONEY,Financing...,No,No,No,No,No,No,WTRSWR,,Sustainable Water,Infrastructure,
47,04108KU63,AR Arkansas Develop...,2.84,1.79MM,03/05/2025,06/01/2030,FED & ST TAX-EXEMPT,NEW MONEY,Financing...,No,No,No,No,No,No,WTRSWR,,Sustainable Water,Infrastructure,
48,04108KU71,AR Arkansas Develop...,2.88,1.87MM,03/05/2025,06/01/2031,FED & ST TAX-EXEMPT,NEW MONEY,Financing...,No,No,No,No,No,No,WTRSWR,,Sustainable Water,Infrastructure,
49,04108KU89,AR Arkansas Develop...,2.94,1.97MM,03/05/2025,06/01/2032,FED & ST TAX-EXEMPT,NEW MONEY,Financing...,No,No,No,No,No,No,WTRSWR,,Sustainable Water,Infrastructure,
50,04108KV21,AR Arkansas Develop...,3.08,2.17MM,03/05/2025,06/01/2034,FED & ST TAX-EXEMPT,NEW MONEY,Financing...,No,No,No,No,No,No,WTRSWR,,Sustainable Water,Infrastructure,
51,04108KV39,AR Arkansas Develop...,3.15,2.28MM,03/05/2025,06/01/2035,FED & ST TAX-EXEMPT,NEW MONEY,Financing...,No,No,No,No,No,No,WTRSWR,,Sustainable Water,Infrastructure,
52,04108KV47,AR Arkansas Develop...,3.2,2.39MM,03/05/2025,06/01/2036,FED & ST TAX-EXEMPT,NEW MONEY,Financing...,No,No,No,No,No,No,WTRSWR,,Sustainable Water,Infrastructure,
53,04108KV54,AR Arkansas Develop...,3.26,2.51MM,03/05/2025,06/01/2037,FED & ST TAX-EXEMPT,NEW MONEY,Financing...,No,No,No,No,No,No,WTRSWR,,Sustainable Water,Infrastructure,
54,04108KV70,AR Arkansas Develop...,3.39,2.77MM,03/05/2025,06/01/2039,FED & ST TAX-EXEMPT,NEW MONEY,Financing...,No,No,No,No,No,No,WTRSWR,,Sustainable Water,Infrastructure,
55,04108KV96,AR Arkansas Develop...,3.6,3.05MM,03/05/2025,06/01/2041,FED & ST TAX-EXEMPT,NEW MONEY,Financing...,No,No,No,No,No,No,WTRSWR,,Sustainable Water,Infrastructure,
56,083389GU4,AR Benton Washingto...,2.42,385.00M,09/30/2025,10/01/2027,FED & ST TAX-EXEMPT,NEW MONEY,Utilities,Yes,No,No,No,No,No,WTRSWR,,Sustainable Water,,
57,083389GWO,AR Benton Washingto...,2.45,425.00M,09/30/2025,10/01/2029,FED & ST TAX-EXEMPT,NEW MONEY,Utilities,Yes,No,No,No,No,No,WTRSWR,,Sustainable Water,,
58,083389HA7,AR Benton Washingto...,3.13,515.00M,09/30/2025,10/01/2033,FED & ST TAX-EXEMPT,NEW MONEY,Utilities,Yes,No,No,No,No,No,WTRSWR,,Sustainable Water,,
59,083389HB5,AR Benton Washingto...,3.33,535.00M,09/30/2025,10/01/2034,FED & ST TAX-EXEMPT,NEW MONEY,Utilities,Yes,No,No,No,No,No,WTRSWR,,Sustainable Water,,
60,083389HC3,AR Benton Washingto...,3.49,560.00M,09/30/2025,10/01/2035,FED & ST TAX-EXEMPT,NEW MONEY,Utilities,Yes,No,No,No,No,No,WTRSWR,,Sustainable Water,,
61,083389HF6,AR Benton Washingto...,3.93,630.00M,09/30/2025,10/01/2038,FED & ST TAX-EXEMPT,NEW MONEY,Utilities,Yes,No,No,No,No,No,WTRSWR,Sustainable Water,,Sustainable water,
62,083389HG4,AR Benton Washingto...,4.05,655.00M,09/30/2025,10/01/2039,FED & ST TAX-EXEMPT,NEW MONEY,Utilities,Yes,No,No,No,No,No,WTRSWR,Sustainable Water,,Sustainable water,
63,083389HK5,AR Benton Washingto...,4.66,2.42MM,09/30/2025,10/01/2045,FED & ST TAX-EXEMPT,NEW MONEY,Utilities,Yes,No,No,No,No,No,WTRSWR,Sustainable Water,,Sustainable water,
64,861431DK7,CA Stockton-East Wat...,2.53,165.00M,11/18/2025,03/01/2030,FED & ST TAX-EXEMPT,NEW MONEY,Utilities,Yes,No,No,No,No,No,WTRSWR,Sustainable Water,,Conservation,
65,861431DP6,CA Stockton-East Wat...,2.75,200.00M,11/18/2025,03/01/2034,FED & ST TAX-EXEMPT,NEW MONEY,Utilities,Yes,No,No,No,No,No,WTRSWR,Sustainable Water,,Conservation,
66,861431DQ4,CA Stockton-East Wat...,2.84,210.00M,11/18/2025,03/01/2035,FED & ST TAX-EXEMPT,NEW MONEY,Utilities,Yes,No,No,No,No,No,WTRSWR,Sustainable Water,,Conservation,
67,861431DR2,CA Stockton-East Wat...,2.97,505.00M,11/18/2025,03/01/2036,FED & ST TAX-EXEMPT,NEW MONEY,Utilities,Yes,No,No,No,No,No,WTRSWR,Sustainable Water,,Conservation,
68,861431DSO,CA Stockton-East Wat...,3.11,815.00M,11/18/2025,03/01/2037,FED & ST TAX-EXEMPT,NEW MONEY,Utilities,Yes,No,No,No,No,No,WTRSWR,Sustainable Water,,Conservation,
69,861431DU5,CA Stockton-East Wat...,3.4,900.00M,11/18/2025,03/01/2039,FED & ST TAX-EXEMPT,NEW MONEY,Utilities,Yes,No,No,No,No,No,WTRSWR,Sustainable Water,,Conservation,
70,861431DV3,CA Stockton-East Wat...,3.57,945.00M,11/18/2025,03/01/2040,FED & ST TAX-EXEMPT,NEW MONEY,Utilities,Yes,No,No,No,No,No,WTRSWR,Sustainable Water,,Conservation,
71,861431DW1,CA Stockton-East Wat...,3.7,1.00MM,11/18/2025,03/01/2041,FED & ST TAX-EXEMPT,NEW MONEY,Utilities,Yes,No,No,No,No,No,WTRSWR,Sustainable Water,,Conservation,
72,861431DX9,CA Stockton-East Wat...,3.83,1.05MM,11/18/2025,03/01/2042,FED & ST TAX-EXEMPT,NEW MONEY,Utilities,Yes,No,No,No,No,No,WTRSWR,Sustainable Water,,Conservation,
73,861431DY7,CA Stockton-East Wat...,3.96,1.10MM,11/18/2025,03/01/2043,FED & ST TAX-EXEMPT,NEW MONEY,Utilities,Yes,No,No,No,No,No,WTRSWR,Sustainable Water,,Conservation,
74,861431EA8,CA Stockton-East Wat...,4.18,1.21MM,11/18/2025,03/01/2045,FED & ST TAX-EXEMPT,NEW MONEY,Utilities,Yes,No,No,No,No,No,WTRSWR,Sustainable Water,,Conservation,
75,88035J7B2,CA Tender Option Bo...,,8.00MM,01/13/2025,03/01/2051,FED & ST TAX-EXEMPT,NEW MONEY,Financing...,No,,,,,,PUBTRAN,,,,
76,88035M6F7,CA Tender Option Bo...,,16.00MM,04/24/2025,11/15/2032,FED & ST TAX-EXEMPT,REFUNDING...,Financing...,No,,,,,,ARPT,,,,
77,88035M6G5,CA Tender Option Bo...,,4.00MM,04/24/2025,05/15/2048,FED & ST TAX-EXEMPT,REFUNDING...,Financing...,No,,,,,,ARPT,,,,
78,88035MB61,CA Tender Option Bo...,,6.00MM,04/03/2025,05/15/2055,AMT/ST TAX-EXEMPT,REFUNDING...,Financing...,No,,,,,,ARPT,,,,
79,88035MB79,CA Tender Option Bo...,,2.00MM,04/03/2025,05/15/2055,AMT/ST TAX-EXEMPT,REFUNDING...,Financing...,No,,,,,,ARPT,,,,
80,88035MB87,CA Tender Option Bo...,,6.00MM,04/03/2025,05/15/2055,AMT/ST TAX-EXEMPT,REFUNDING...,Financing...,No,,,,,,ARPT,,,,
81,88035MB95,CA Tender Option Bo...,,2.00MM,04/03/2025,05/15/2055,AMT/ST TAX-EXEMPT,REFUNDING...,Financing...,No,,,,,,ARPT,,,,
82,88035MC29,CA Tender Option Bo...,,53.93MM,04/03/2025,05/15/2055,AMT/ST TAX-EXEMPT,REFUNDING...,Financing...,No,,,,,,ARPT,,,,
83,88035MC37,CA Tender Option Bo...,,4.00MM,04/03/2025,05/15/2055,AMT/ST TAX-EXEMPT,REFUNDING...,Financing...,No,,,,,,ARPT,,,,
84,88035MC45,CA Tender Option Bo...,,2.00MM,04/03/2025,05/15/2050,AMT/ST TAX-EXEMPT,REFUNDING...,Financing...,No,,,,,,ARPT,,,,
85,88035MC52,CA Tender Option Bo...,,3.00MM,04/03/2025,05/15/2055,AMT/ST TAX-EXEMPT,REFUNDING...,Financing...,No,,,,,,ARPT,,,,
86,88035MC86,CA Tender Option Bo...,,39.88MM,04/04/2025,05/15/2055,AMT/ST TAX-EXEMPT,REFUNDING...,Financing...,No,,,,,,ARPT,,,,
87,88035MC94,CA Tender Option Bo...,,2.72MM,04/04/2025,05/15/2050,AMT/ST TAX-EXEMPT,REFUNDING...,Financing...,No,,,,,,ARPT,,,,
88,88035MD28,CA Tender Option Bo...,,1.34MM,04/04/2025,05/15/2055,AMT/ST TAX-EXEMPT,REFUNDING...,Financing...,No,,,,,,ARPT,,,,
89,88035MD77,CA Tender Option Bo...,,12.91MM,04/03/2025,05/15/2050,AMT/ST TAX-EXEMPT,REFUNDING...,Financing...,No,,,,,,ARPT,,,,
90,88035MD85,CA Tender Option Bo...,,6.46MM,04/03/2025,05/15/2050,AMT/ST TAY EYEMPT,REFUNDING,Financing,No,,,,,,ARDT,,,,
91),88035MD93,CA Tender Option Bo..,18.75MM,04/07/2025,05/15/2055,AMT/ST TAX-EXEMPT,REFUNDING...,Financing...,No,,,,,,,,,,ARPT,
92),88035ME27,CA Tender Option Bo..,6.25MM,04/07/2025,05/15/2055,AMT/ST TAX-EXEMPT,REFUNDING...,Financing...,No,,,,,,,,,,ARPT,
93),88035ME76,CA Tender Option Bo..,7.50MM,04/07/2025,05/15/2055,AMT/ST TAX-EXEMPT,REFUNDING...,Financing...,No,,,,,,,,,,ARPT,
94),88035ME84,CA Tender Option Bo..,2.50MM,04/07/2025,05/15/2055,AMT/ST TAX-EXEMPT,REFUNDING...,Financing...,No,,,,,,,,,,ARPT,
95),88035MR56,CA Tender Option Bo..,8.00MM,04/11/2025,11/15/2032,AMT/ST TAX-EXEMPT,REFUNDING...,Financing...,No,,,,,,,,,,ARPT,
96),88035MR64,CA Tender Option Bo..,2.00MM,04/11/2025,05/15/2043,AMT/ST TAX-EXEMPT,REFUNDING...,Financing...,No,,,,,,,,,,ARPT,
97),88035MVY8,CA Tender Option Bo..,7.50MM,03/25/2025,11/15/2054,FED & ST TAX-EXEMPT,REFUNDING...,Financing...,No,,,,,,,,,,PUBPWR,
98),88035MVZ5,CA Tender Option Bo..,2.50MM,03/25/2025,11/15/2054,FED & ST TAX-EXEMPT,REFUNDING...,Financing...,No,,,,,,,,,,PUBPWR,
99),88035MW68,CA Tender Option Bo..,8.35MM,04/15/2025,01/01/2033,FED & ST TAX-EXEMPT,NEW MONEY,Financing...,No,,,,,,,,,,GASFWD,
100),88035MW76,CA Tender Option Bo..,2.79MM,04/15/2025,01/01/2056,FED & ST TAX-EXEMPT,NEW MONEY,Financing...,No,,,,,,,,,,GASFWD,
101),88035PB31,CA Tender Option Bo..,16.66MM,06/17/2025,05/15/2050,AMT/ST TAX-EXEMPT,REFUNDING...,Financing...,No,,,,,,,,,,ARPT,
102),88035PB49,CA Tender Option Bo..,880.00M,06/17/2025,05/15/2050,AMT/ST TAX-EXEMPT,REFUNDING...,Financing...,No,,,,,,,,,,ARPT,
103),88035PBH0,CA Tender Option Bo..,1.40MM,04/30/2025,05/15/2055,AMT/ST TAX-EXEMPT,REFUNDING...,Financing...,No,,,,,,,,,,ARPT,
104),88035PBP2,CA Tender Option Bo..,815.00M,05/01/2025,05/15/2050,AMT/ST TAX-EXEMPT,REFUNDING...,Financing...,No,,,,,,,,,,ARPT,
105),88035PE87,CA Tender Option Bo..,6.67MM,06/20/2025,05/15/2050,AMT/ST TAX-EXEMPT,REFUNDING...,Financing...,No,,,,,,,,,,ARPT,
106),88035PE95,CA Tender Option Bo..,3.34MM,06/20/2025,05/15/2050,AMT/ST TAX-EXEMPT,REFUNDING...,Financing...,No,,,,,,,,,,ARPT,
107),88035PG44,CA Tender Option Bo..,30.27MM,06/20/2025,04/01/2031,FED & ST TAX-EXEMPT,NEW MONEY,Financing...,No,,,,,,,,,,GASFWD,
108),88035PG51,CA Tender Option Bo..,7.57MM,06/20/2025,03/01/2056,FED & ST TAX-EXEMPT,NEW MONEY,Financing...,No,,,,,,,,,,GASFWD,
109),88035PG69,CA Tender Option Bo..,37.84MM,06/20/2025,03/01/2056,FED & ST TAX-EXEMPT,NEW MONEY,Financing...,No,,,,,,,,,,GASFWD,
110),88035PG77,CA Tender Option Bo..,8.00MM,06/20/2025,04/01/2031,FED & ST TAX-EXEMPT,NEW MONEY,Financing...,No,,,,,,,,,,GASFWD,
111),88035PG85,CA Tender Option Bo..,2.00MM,06/20/2025,03/01/2056,FED & ST TAX-EXEMPT,NEW MONEY,Financing...,No,,,,,,,,,,GASFWD,
112),88035PG93,CA Tender Option Bo..,10.00MM,06/20/2025,03/01/2056,FED & ST TAX-EXEMPT,NEW MONEY,Financing...,No,,,,,,,,,,GASFWD,
113),88035PGW2,CA Tender Option Bo..,6.83MM,05/09/2025,05/15/2055,AMT/ST TAX-EXEMPT,REFUNDING...,Financing...,No,,,,,,,,,,ARPT,
114),88035PHN1,CA Tender Option Bo..,10.50MM,05/13/2025,10/01/2028,FED & ST TAX-EXEMPT,NEW MONEY,Financing...,No,,,,,,,,,,GASFWD,
115),88035PHP6,CA Tender Option Bo..,3.50MM,05/13/2025,11/01/2054,FED & ST TAX-EXEMPT,NEW MONEY,Financing...,No,,,,,,,,,,GASFWD,
116),88035PHR2,CA Tender Option Bo..,10.39MM,05/13/2025,09/01/2029,FED & ST TAX-EXEMPT,NEW MONEY,Financing...,No,,,,,,,,,,GASFWD,
117),88035PHSO,CA Tender Option Bo..,3.47MM,05/13/2025,02/01/2054,FED & ST TAX-EXEMPT,NEW MONEY,Financing...,No,,,,,,,,,,GASFWD,
118),88035PMR6,CA Tender Option Bo..,2.00MM,05/21/2025,05/15/2055,AMT/ST TAX-EXEMPT,REFUNDING...,Financing...,No,,,,,,,,,,ARPT,
119),88035PQSO,CA Tender Option Bo..,7.69MM,05/28/2025,05/15/2050,AMT/ST TAX-EXEMPT,REFUNDING...,Financing...,No,,,,,,,,,,ARPT,
120,88035PQT8,CA Tender Option Bo...,2.56MM,05/28/2025,05/15/2050,AMT/ST TAX-EXEMPT,REFUNDING...,Financing...,No,,,,,,,,,ARPT,,
121,88035PQW1,CA Tender Option Bo...,10.71MM,05/29/2025,05/15/2055,AMT/ST TAX-EXEMPT,REFUNDING...,Financing...,No,,,,,,,,,ARPT,,
122,88035PRG5,CA Tender Option Bo...,10.06MM,05/29/2025,05/15/2050,AMT/ST TAX-EXEMPT,REFUNDING...,Financing...,No,,,,,,,,,ARPT,,
123,88035PRH3,CA Tender Option Bo...,5.03MM,05/29/2025,05/15/2050,AMT/ST TAX-EXEMPT,REFUNDING...,Financing...,No,,,,,,,,,ARPT,,
124,88035PRT7,CA Tender Option Bo...,1.11MM,05/29/2025,05/15/2055,AMT/ST TAX-EXEMPT,REFUNDING...,Financing...,No,,,,,,,,,ARPT,,
125,88035PS66,CA Tender Option Bo...,730.00M,07/07/2025,05/15/2055,AMT/ST TAX-EXEMPT,REFUNDING...,Financing...,No,,,,,,,,,ARPT,,
126,88035PUW6,CA Tender Option Bo...,1.00MM,06/05/2025,05/15/2050,AMT/ST TAX-EXEMPT,REFUNDING...,Financing...,No,,,,,,,,,ARPT,,
127,88035PVS4,CA Tender Option Bo...,8.00MM,06/09/2025,10/01/2029,FED & ST TAX-EXEMPT,NEW MONEY,Financing...,No,,,,,,,,,GASFWD,,
128,88035PVU9,CA Tender Option Bo...,10.00MM,06/09/2025,02/01/2054,FED & ST TAX-EXEMPT,NEW MONEY,Financing...,No,,,,,,,,,GASFWD,,
129,88035PVV7,CA Tender Option Bo...,12.75MM,06/09/2025,01/01/2033,FED & ST TAX-EXEMPT,NEW MONEY,Financing...,No,,,,,,,,,GASFWD,,
130,88035PVX3,CA Tender Option Bo...,15.94MM,06/09/2025,01/01/2056,FED & ST TAX-EXEMPT,NEW MONEY,Financing...,No,,,,,,,,,GASFWD,,
131,88035PVY1,CA Tender Option Bo...,8.18MM,06/09/2025,11/01/2030,FED & ST TAX-EXEMPT,NEW MONEY,Financing...,No,,,,,,,,,GASFWD,,
132,88035PVZ8,CA Tender Option Bo...,2.05MM,06/09/2025,11/01/2055,FED & ST TAX-EXEMPT,NEW MONEY,Financing...,No,,,,,,,,,GASFWD,,
133,88035PWA2,CA Tender Option Bo...,10.23MM,06/09/2025,11/01/2055,FED & ST TAX-EXEMPT,NEW MONEY,Financing...,No,,,,,,,,,GASFWD,,
134,88035PX60,CA Tender Option Bo...,2.50MM,07/09/2025,08/01/2040,FED & ST TAX-EXEMPT,NEW MONEY,Financing...,No,,,,,,,,,GODIST,,
135,88035PX78,CA Tender Option Bo...,1.40MM,07/09/2025,08/01/2047,FED & ST TAX-EXEMPT,NEW MONEY,Financing...,No,,,,,,,,,GODIST,,
136,88035PX86,CA Tender Option Bo...,2.00MM,07/09/2025,08/01/2047,FED & ST TAX-EXEMPT,NEW MONEY,Financing...,No,,,,,,,,,GODIST,,
137,88035PXY9,CA Tender Option Bo...,12.00MM,06/12/2025,06/01/2054,FED & ST TAX-EXEMPT,NEW MONEY,Financing...,No,,,,,,,,,WTRSWR,,
